id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2019-08-24;systemic;80620;8451;74825
2;2019-08-24;Manager;53659;37047;92404
3;2019-08-24;Auto Loan Account;36891;53126;46253
4;2019-08-24;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);84444;51167;74961
5;2019-08-24;Refined;44741;35414;53261
6;2019-08-24;Gorgeous;73740;37728;18228
7;2019-08-24;software blue;32749;53533;11976
8;2019-08-24;distributed Ranch impactful;64882;49844;47958
9;2019-08-24;Russian Federation Nevada;74543;58653;43165
10;2019-08-24;empower;33744;36308;89964
