id;transaction_date;transaction_description;transaction_qty;transaction_balance
1;2019-08-24;Handmade Wooden Cheese Fresh;64921;74421
2;2019-08-24;Idaho Markets grow;28571;8289
3;2019-08-23;Mandatory Assistant;1215;97790
4;2019-08-23;Incredible Fresh Car Tuvalu;99296;91911
5;2019-08-24;Paraguay;96930;7543
6;2019-08-24;Savings Account;69574;29449
7;2019-08-24;Credit Card Account Maryland Legacy;4544;91525
8;2019-08-24;Brand Regional Court;62013;33566
9;2019-08-24;olive;46369;38826
10;2019-08-24;Indiana;7773;36034
