id;job_code;job_description;job_start_date;job_end_date;job_amount
1;mobile Fish;Home Loan Account Table Computer;2019-08-24;2019-08-24;86617
2;Savings Account alarm;Tasty Metal Bacon;2019-08-23;2019-08-24;77
3;Officer;methodology Albania;2019-08-24;2019-08-24;29122
4;Investment Account Steel;Coordinator;2019-08-24;2019-08-24;9060
5;Savings Account syndicate Planner;Refined Rubber Chicken Table;2019-08-24;2019-08-24;94888
6;Planner cross-platform access;Public-key;2019-08-24;2019-08-24;68326
7;Investment Account;Games Regional Digitized;2019-08-24;2019-08-24;31171
8;Costa Rica Mayotte;Industrial;2019-08-23;2019-08-24;44975
9;e-enable Communications capacitor;Awesome;2019-08-24;2019-08-24;4522
10;software scale interactive;Louisiana Specialist Home Loan Account;2019-08-24;2019-08-24;29627
