id;location_code;location_name;location_prof_margin;is_active
1;International card;West Virginia Keys;66367;true
2;Soft Bedfordshire 4th generation;clear-thinking Auto Loan Account;5142;true
3;Communications Pants;connect Incredible;7513;false
4;supply-chains feed Investment Account;Centralized bypassing;79941;false
5;Engineer Toys Fantastic;Licensed;91731;true
6;mobile;Mount Computer Uzbekistan;87294;true
7;invoice calculate feed;parsing Triple-buffered;48942;true
8;Rand Namibia Dollar;Branding;3942;false
9;Washington Officer New Hampshire;Product Music;69742;true
10;azure;Administrator;94426;true
