id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2019-08-24;connecting;11063;37882;84645
2;2019-08-24;Investment Account;50228;79729;53986
3;2019-08-24;Intuitive application;72003;1220;64114
4;2019-08-24;Nevada port Money Market Account;82679;18159;95907
5;2019-08-23;Idaho strategize;46200;28792;94728
6;2019-08-24;Customer;13911;50588;10079
7;2019-08-24;Clothing;87212;59296;93211
8;2019-08-24;International solid state;2302;70723;65136
9;2019-08-24;Maine Checking Account markets;73644;10424;93436
10;2019-08-23;District Wooden Visionary;16552;83889;18632
