id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2019-08-24;Handmade Plastic Mouse neural;463;60372;33349
2;2019-08-24;relationships JSON;92296;34634;46570
3;2019-08-24;capacitor Path;22460;3284;45243
4;2019-08-23;Devolved;57763;49836;16551
5;2019-08-24;Product;36239;78049;58058
6;2019-08-24;red olive;51517;17803;97554
7;2019-08-23;Towels applications;8534;53506;99687
8;2019-08-24;matrices application;39731;74996;42678
9;2019-08-24;National turquoise orchid;3654;37772;47206
10;2019-08-23;Arkansas reciprocal;71405;45328;52764
