id;supplier_code;supplier_name;supplier_limit;is_active
1;Phased connecting;Automated;17652;false
2;Electronics;neural wireless Generic Frozen Bike;88378;true
3;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;15389;true
4;Flat Savings Account generate;Personal Loan Account;58008;true
5;Trail;didactic Granite;88874;false
6;SCSI Jewelery monitoring;Russian Federation Gorgeous ROI;37268;false
7;Saint Helena Pound;Borders;8104;true
8;Handcrafted;Tasty backing up Cambridgeshire;48058;true
9;Internal Louisiana;Ouguiya Utah;26702;true
10;Seychelles SMTP Synchronised;GB;70836;false
