id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance
1;2019-08-24;Place users;34886;10669;92952
2;2019-08-23;parse infrastructures Mobility;99092;93834;20500
3;2019-08-24;Unbranded Soft Fish Arizona;84182;78151;13977
4;2019-08-23;override back-end hacking;18640;81457;23569
5;2019-08-24;Tunisia granular;87720;58830;39244
6;2019-08-24;Lights interface Central;62410;30137;53978
7;2019-08-24;Borders Grass-roots;89957;39148;38389
8;2019-08-24;Unbranded Concrete Soap Bouvet Island (Bouvetoya);43152;93983;33281
9;2019-08-24;cross-media Wooden optical;62007;49542;53346
10;2019-08-24;South Carolina Liaison copy;70698;24848;77857
