id;worker_code;worker_name;worker_limit;is_active
1;Car Industrial deliverables;orange Books;81546;false
2;monitor 1080p Checking Account;world-class Frozen IB;62329;false
3;Ergonomic;moratorium moratorium;72960;true
4;tangible Mississippi;Frozen bus;76078;true
5;Robust Networked;Poland;42754;false
6;partnerships;Outdoors;63641;false
7;Montana;Corporate Phased relationships;75555;false
8;Brand;neutral Salad;92969;true
9;modular Refined Squares;maroon;89255;true
10;projection Fresh;support Gorgeous;22793;true
